"ID","Number","Flex_LL","Flex_UL","SW_LL","SW_UL","SW_Wt_LL","SW_Wt_UL","SW_Meas_Type","Freq_LL","Freq_UL","Freq_Std","Freq_BSL","Freq_Wt"
3981,S2IS10A,,,20.15,20.75,60.0,66.0,Center of Gravity,279.0,285.0,80,158.75,240
3982,CXS2IR10AJWA,,,20.45,21.05,57.5,65.5,Center of Gravity,263.0,269.0,80,158.75,240
3983,CXS2IS10AJWA,,,20.15,20.75,61.0,69.0,Center of Gravity,279.0,285.0,80,158.75,240
3984,ASAXIX85BXXA,76.0,82.0,0.0,1.0,102.0,108.0,Inch Grams,325.0,331.0,80,158.75,263
3985,AXIX85B,76.0,82.0,0.0,1.0,99.0,105.0,Inch Grams,325.0,331.0,80,158.75,263
3986,S2IA10A,,,20.55,21.15,54.5,60.5,Center of Gravity,249.0,255.0,80,158.75,240
3987,CXS2IA10AS2A,,,20.55,21.15,55.5,63.5,Center of Gravity,249.0,255.0,80,158.75,240
3988,S2IL10A,,,21.15,21.75,51.5,57.5,Center of Gravity,231.0,237.0,80,158.75,240
3989,CXS2IL10ASBA,,,21.15,21.75,52.5,60.5,Center of Gravity,231.0,237.0,80,158.75,240
3990,BRVMIR00AATA,,,0.0,0.001,76.0,86.0,Inch Grams,290.0,300.0,80,158.75,235
3991,BRVMIS00AATA,,,0.0,0.001,76.0,86.0,Inch Grams,305.0,315.0,80,158.75,235
3992,WCWF60A,111.0,125.0,9.4,11.4,53.0,59.0,Swing Weight Points,253.0,263.0,80,186.69,201
3993,CWWCWF60ACSA,111.0,125.0,9.4,11.4,54.5,62.5,Swing Weight Points,253.0,263.0,80,186.69,201
3994,WCWR60A,126.0,140.0,9.4,11.4,52.5,58.5,Swing Weight Points,239.0,249.0,80,186.69,201
3995,CWWCWR60ACSA,126.0,140.0,9.4,11.4,54.0,62.0,Swing Weight Points,239.0,249.0,80,186.69,201
3996,WCWL60A,135.0,149.0,9.4,11.4,52.0,58.0,Swing Weight Points,225.0,235.0,80,186.69,201
3997,CWWCWL60ACSA,135.0,149.0,9.4,11.4,53.5,61.5,Swing Weight Points,225.0,235.0,80,186.69,201
3998,"9XHX20B",95.0,105.0,0.0,1.0,90.0,96.0,Inch Grams,292.0,298.0,80,158.75,235
3999,AS9XHX20BXXA,95.0,105.0,0.0,1.0,92.0,100.0,Inch Grams,292.0,298.0,80,158.75,235
4000,"7QWR50B",134.0,146.0,0.0,1.0,69.0,75.0,Inch Grams,257.0,263.0,80,158.75,201
4001,AS7DWR50BARA,134.0,146.0,0.0,1.0,71.0,79.0,Inch Grams,257.0,263.0,80,158.75,201
4002,AS7QWR50BARA,134.0,146.0,0.0,1.0,71.0,79.0,Inch Grams,257.0,263.0,80,158.75,201
4003,"7QWS50B",120.0,132.0,0.0,1.0,70.0,76.0,Inch Grams,272.0,278.0,80,158.75,201
4004,AS7QWS50BARA,120.0,132.0,0.0,1.0,72.0,80.0,Inch Grams,272.0,278.0,80,158.75,201
4005,"6EWS60B",115.0,125.0,0.0,1.0,64.0,70.0,Inch Grams,259.0,265.0,80,158.75,201
4006,AS6EWS60BXXA,115.0,125.0,0.0,1.0,66.0,74.0,Inch Grams,259.0,265.0,80,158.75,201
4007,ASVSIC10ACZA,101.0,117.0,0.0,0.001,77.0,87.0,Inch Grams,,,80,,
4008,ASWAWS60ADSA,115.0,125.0,0.0,0.001,63.0,71.0,Inch Grams,257.0,263.0,80,158.75,201
4009,X5WL60A,,,0.0,1.0,52.0,58.0,Inch Grams,211.0,219.0,80,158.75,201
4010,DKX5WL60APVA,,,0.0,1.0,53.0,61.0,Inch Grams,211.0,219.0,80,158.75,201
4011,BXIX65A,68.0,74.0,0.0,1.0,83.0,89.0,Inch Grams,350.0,356.0,80,158.75,297
4012,ASBXIX65AZZA,68.0,74.0,0.0,1.0,84.5,92.5,Inch Grams,350.0,356.0,80,158.75,297
4013,BXIX70A,70.0,76.0,0.0,1.0,83.0,89.0,Inch Grams,343.0,349.0,80,158.75,285
4014,ASBXIX70AXXA,70.0,76.0,0.0,1.0,84.5,92.5,Inch Grams,340.0,343.0,80,158.75,285
