"PartID","ZMID","Diam_LL","Diam_UL","Min_Under","Max_Over"
8283,315,9.41,9.59,0.003,0.003
8283,60,14.4,15.2,0.003,0.003
6680,75,9.35,9.45,0.003,0.003
7083,112,15.05,15.45,0.003,0.003
7083,233,9.45,9.65,0.003,0.003
7083,280,9.45,9.65,0.003,0.003
9128,39,15.1,15.5,0.003,0.003
9128,232,9.35,9.45,0.003,0.003
9128,18,9.35,9.45,0.003,0.003
9128,8,9.35,9.45,0.003,0.003
6680,122,14.2,14.5,0.003,0.003
6711,232,8.45,8.55,0.003,0.003
6711,82,8.45,8.55,0.003,0.003
6711,290,8.45,8.55,0.003,0.003
6712,136,15.2,15.6,0.003,0.003
6712,233,8.5,8.7,0.003,0.003
6712,279,8.5,8.7,0.003,0.003
6712,291,8.5,8.7,0.003,0.003
6713,95,15.4,15.8,0.003,0.003
6713,232,8.45,8.55,0.003,0.003
6713,82,8.45,8.55,0.003,0.003
6713,290,8.45,8.55,0.003,0.003
6714,136,15.4,15.8,0.003,0.003
6714,233,8.5,8.7,0.003,0.003
6714,279,8.5,8.7,0.003,0.003
6714,291,8.5,8.7,0.003,0.003
6935,92,8.5,8.7,0.003,0.003
6762,95,15.15,15.55,0.003,0.003
6762,297,8.45,8.55,0.003,0.003
6762,358,8.45,8.55,0.003,0.003
6762,232,8.45,8.55,0.003,0.003
6763,136,15.15,15.55,0.003,0.003
6763,304,8.5,8.7,0.003,0.003
6763,329,8.5,8.7,0.003,0.003
6763,233,8.5,8.7,0.003,0.003
6764,95,15.25,15.65,0.003,0.003
6764,232,8.45,8.55,0.003,0.003
6764,358,8.45,8.55,0.003,0.003
6764,297,8.45,8.55,0.003,0.003
6765,136,15.25,15.65,0.003,0.003
6765,304,8.5,8.7,0.003,0.003
6765,329,8.5,8.7,0.003,0.003
6765,233,8.5,8.7,0.003,0.003
6760,95,15.35,15.75,0.003,0.003
6872,43,8.45,8.55,0.003,0.003
6872,232,8.45,8.55,0.003,0.003
6872,75,8.45,8.55,0.003,0.003
6873,112,15.5,15.9,0.003,0.003
6873,233,8.5,8.7,0.003,0.003
6873,103,8.5,8.7,0.003,0.003
6873,92,8.5,8.7,0.003,0.003
6760,232,8.45,8.55,0.003,0.003
6760,358,8.45,8.55,0.003,0.003
6760,297,8.45,8.55,0.003,0.003
6761,136,15.35,15.75,0.003,0.003
6761,233,8.5,8.7,0.003,0.003
6761,329,8.5,8.7,0.003,0.003
6761,304,8.5,8.7,0.003,0.003
6758,95,14.45,14.85,0.003,0.003
6756,95,14.35,14.75,0.003,0.003
6756,75,8.45,8.55,0.003,0.003
6756,43,8.45,8.55,0.003,0.003
6756,232,8.45,8.55,0.003,0.003
6757,136,14.35,14.75,0.003,0.003
6757,103,8.5,8.7,0.003,0.003
6757,92,8.5,8.7,0.003,0.003
6757,233,8.5,8.7,0.003,0.003
6758,18,8.45,8.55,0.003,0.003
6758,8,8.45,8.55,0.003,0.003
6758,232,8.45,8.55,0.003,0.003
6759,136,14.45,14.85,0.003,0.003
6759,21,8.5,8.7,0.003,0.003
6759,68,8.5,8.7,0.003,0.003
6759,233,8.5,8.7,0.003,0.003
7053,304,9.4,9.6,0.003,0.003
7138,297,9.35,9.45,0.003,0.003
7138,88,9.35,9.45,0.003,0.003
7138,122,14.22,14.7,0.003,0.003
7196,121,14.53,14.79,0.003,0.003
7196,233,9.4,9.6,0.003,0.003
7375,232,8.45,8.55,0.003,0.003
7375,75,8.45,8.55,0.003,0.003
7375,43,8.45,8.55,0.003,0.003
7196,304,9.4,9.6,0.003,0.003
9082,39,15.05,15.35,0.003,0.003
9082,388,14.85,15.15,0.003,0.003
9082,232,8.45,8.55,0.003,0.003
9082,75,8.45,8.55,0.003,0.003
9082,43,8.45,8.55,0.003,0.003
9083,39,15.15,15.45,0.003,0.003
9083,388,15.25,15.55,0.003,0.003
9083,232,8.45,8.55,0.003,0.003
7965,39,15.05,15.45,0.003,0.003
7965,232,9.04,9.14,0.003,0.003
7965,41,9.23,9.33,0.003,0.003
7966,39,15.05,15.45,0.003,0.003
7966,232,9.04,9.14,0.003,0.003
7966,41,9.23,9.33,0.003,0.003
7967,39,15.05,15.45,0.003,0.003
7967,232,9.04,9.14,0.003,0.003
7967,41,9.23,9.33,0.003,0.003
7968,39,15.1,15.5,0.003,0.003
7968,232,9.04,9.14,0.003,0.003
7968,41,9.23,9.33,0.003,0.003
7969,39,15.1,15.5,0.003,0.003
7969,232,9.04,9.14,0.003,0.003
7970,39,15.1,15.5,0.003,0.003
7970,232,9.04,9.14,0.003,0.003
7970,41,9.23,9.33,0.003,0.003
7971,39,15.1,15.5,0.003,0.003
7971,232,9.04,9.14,0.003,0.003
7971,41,9.23,9.33,0.003,0.003
7972,39,15.2,15.6,0.003,0.003
7972,232,9.04,9.14,0.003,0.003
7972,41,9.23,9.33,0.003,0.003
9279,39,15.05,15.45,0.003,0.003
9279,232,9.35,9.45,0.003,0.003
9279,358,9.35,9.45,0.003,0.003
9280,39,15.15,15.55,0.003,0.003
9280,232,9.35,9.45,0.003,0.003
9280,358,9.35,9.45,0.003,0.003
9281,39,14.85,15.25,0.003,0.003
7657,41,9.22,9.32,0.003,0.003
7657,39,14.9,15.3,0.003,0.003
7657,232,9.01,9.11,0.003,0.003
10138,112,14.6,15.0,0.003,0.003
