"ID","Name"
297,UPT TOD @80MM
283,UPT TOD @ 3.2
98,UPT TOD @ 3.25
84,UPT TOD @ 3.3
324,UPT TOD @85MM
305,UPT TOD @90MM
281,UPT TOD @ 3.6
85,UPT TOD @ 3.75
153,UPT TOD @ 3.8
377,UPT TOD @ 32 MM
351,UPT TOD @ 38 MM
8,UPT TOD @100MM
258,UPT TOD @ 4.13
260,UPT TOD @ 4.33
86,UPT TOD @ 4.5
358,UPT TOD @40MM
361,UPT TOD @ 45 MM
87,UPT TOD @127MM
290,UPT TOD @130MM
277,UPT TOD @ 5.2
184,UPT TOD @ 5.4
88,UPT TOD @140MM
343,UPT TOD @ 145MM
245,UPT TOD @ 5.9
359,UPT TOD @ 50MM
353,UPT TOD @55MM
284,UPT TOD @160MM
90,UPT TOD @ 6.5
265,UPT TOD @168MM
292,UPT TOD @170MM
254,UPT TOD @ 6.8
348,UPT TOD @60MM
366,UPT TOD @ 65 MM
52,UPT TOD @178MM
300,UPT TOD @ 7.2
309,UPT TOD @185MM
207,UPT TOD @ 7.40
91,UPT TOD @ 7.5
364,UPT TOD @ 70 MM
350,UPT TOD @ 75 MM
170,UPT TOD @ 8.5
250,UPT TOD @ 8.75
355,UPT TOD @ 80 MM
362,UPT TOD @ 90 MM
232,UPT TOD @10MM
89,UPT TOD @150MM
326,UPT TOD @30MM
75,UPT TOD @38MM
43,UPT TOD @75MM
332,UPT-BOD @ 0.5
336,UPT-BOD @ 1.2
333,UPT-BOD @ 6.42
337,UPT-BOD @ 7.1
253,UPTBOD @ 7.5
334,UPT-TOD @ 0.4
338,UPT-TOD @ 1.2
335,UPT-TOD @ 1.575
339,UPT-TOD @ 2.4
340,UPT-TOD @ 3.35
242,USDTOD @0.125
241,USDTOD @1.375
171,USDTOD @51MM
378,PT TOD @145MM
379,UPT BOD @102MM
380,PT BOD @102MM
381,UPT BOD @381MM
382,PT BOD @381MM
392,UPT TOD @120MM
384,UPT TOD @51MM
385,PT TOD @51MM
386,UPT TOD @76MM
387,PT TOD @76MM
388,UPT BOD @380MM
389,PT TOD @3MM
390,UPT TOD @89MM
391,PT BOD @254MM
393,PT TOD @120MM
394,UPT BOD @15MM
395,UPT BOD @165MM
396,UPT TOD @ 29MM
397,UPT TOD @28MM
398,UPT BOD @28MM
399,UPT BOD @330MM
400,UPT BOD @191MM
401,PT BOD @191MM
402,PT TOD @64MM
403,PT BOD @15MM
404,PT BOD @165MM
405,PT BOD @28MM
406,UPT BOD @254MM
407,UPT BOD @292MM
408,UPT BOD @432MM
409,PT BOD @292MM
410,UPT TOD @22MM
411,UPT BOD @14MM
412,UPT BOD @164MM
413,UPT TOD @102MM
414,PT TOD @102MM
415,PT TOD @63.5MM
416,PT BOD @14MM
417,PT BOD @164MM
418,UPT BOD @80MM
419,UPT BOD @324MM
420,PT BOD @324MM
421,UPT TOD @5MM
422,PT BOD @346MM
423,PT BOD @150MM
0,PTBOD@0.001
424,PT BOD @80MM
425,PT BOD @35MM
426,UPT BOD @325MM
427,UPT BOD @12MM
428,UPT BOD @162MM
429,UPT TOD @11MM
430,UPT TOD @161MM
431,UPT BOD @11MM
432,UPT BOD @161MM
433,PT BOD @12MM
434,PT BOD @162MM
435,PT BOD @11MM
436,UPT BOD @51MM
437,UPT BOD @201MM
438,UPT BOD @673MM
439,UPT BOD @460MM
440,PT BOD @460MM
441,PT BOD @673MM
442,UPT BOD @172MM
443,UPT BOD @22MM
444,PT BOD @22MM
445,PT BOD @172MM
446,UPT BOD @36MM
447,UPT BOD @186MM
448,PT BOD @36MM
449,PT BOD @186MM
450,PT TOD @33MM
451,UPT BOD @175MM
452,PT BOD @175MM
453,UPT TOD @31MM
454,PT TOD @31MM
455,PT TOD @5MM
456,UPT BOD @181MM
457,PT BOD @181MM
458,UPT TOD @8.6MM
459,UPT TOD @267MM
460,PT TOD @267MM
461,UPT BOD @16MM
462,PT BOD @16MM
463,UPT BOD @23MM
464,PT BOD @23MM
465,UPT BOD @166MM
466,PT BOD @166MM
467,UPT BOD @173MM
468,PT BOD @173MM
469,UPT BOD @310MM
470,PT BOD @310MM
471,UPT BOD @26MM
472,PT BOD @26MM
473,UPT BOD @176MM
474,PT BOD @176MM
475,UPT BOD @127MM
476,PT BOD @127MM
477,UPT TOD @152MM
478,PT TOD @152MM
479,UPT TOD @381MM
480,PT TOD @381MM
481,UPT TOD @559MM
482,PT TOD @559MM
